S, T, P, pH, pCO2, fCO2, CO2, HCO3, CO3, OmegaAragonite, OmegaCalcite, BetaD, DIC, ALK
35,18,0,8.0466,400.026,398.653,1.36689e-05,0.00187099,0.000173528,2.67803,4.14135,10.8793,0.00205818,0.0023
35,18,500,8.0289,397.325,395.961,1.35766e-05,0.00187219,0.000172421,2.46861,3.7958,10.8872,0.00205818,0.0023
35,18,1000,8.01126,394.651,393.297,1.34852e-05,0.00187338,0.000171316,2.2767,3.48081,10.8954,0.00205818,0.0023
35,18,1500,7.99368,392.003,390.658,1.33947e-05,0.00187458,0.000170214,2.10076,3.19356,10.9037,0.00205818,0.0023
35,18,2000,7.97616,389.381,388.045,1.33051e-05,0.00187577,0.000169114,1.93939,2.93149,10.9123,0.00205818,0.0023
35,18,2500,7.9587,386.784,385.457,1.32164e-05,0.00187695,0.000168017,1.79132,2.69227,10.9212,0.00205818,0.0023
35,18,3000,7.94131,384.211,382.893,1.31285e-05,0.00187813,0.000166923,1.65538,2.47382,10.9302,0.00205818,0.0023
35,18,3500,7.92397,381.662,380.352,1.30414e-05,0.00187931,0.000165832,1.53053,2.27424,10.9395,0.00205818,0.0023
35,18,4000,7.9067,379.135,377.834,1.2955e-05,0.00188049,0.000164744,1.41581,2.09182,10.949,0.00205818,0.0023
35,18,4500,7.88949,376.631,375.339,1.28695e-05,0.00188166,0.000163659,1.31035,1.925,10.9587,0.00205818,0.0023
35,18,5000,7.87234,374.149,372.865,1.27846e-05,0.00188282,0.000162579,1.21336,1.77238,10.9687,0.00205818,0.0023
35,18,5500,7.85525,371.687,370.412,1.27005e-05,0.00188398,0.000161502,1.12412,1.63269,10.9789,0.00205818,0.0023
35,18,6000,7.83823,369.246,367.979,1.26171e-05,0.00188514,0.000160429,1.04197,1.50478,10.9893,0.00205818,0.0023
35,18,6500,7.82127,366.826,365.567,1.25344e-05,0.00188629,0.00015936,0.966322,1.38759,11,0.00205818,0.0023
35,18,7000,7.80438,364.424,363.173,1.24523e-05,0.00188744,0.000158295,0.89662,1.28019,11.0109,0.00205818,0.0023
35,18,7500,7.78755,362.041,360.799,1.23709e-05,0.00188858,0.000157235,0.832371,1.1817,11.0221,0.00205818,0.0023
35,18,8000,7.77078,359.677,358.442,1.22901e-05,0.00188972,0.000156179,0.773122,1.09134,11.0334,0.00205818,0.0023
35,18,8500,7.75408,357.33,356.104,1.22099e-05,0.00189085,0.000155128,0.718458,1.00841,11.045,0.00205818,0.0023
35,18,9000,7.73745,355,353.782,1.21303e-05,0.00189197,0.000154082,0.668003,0.932267,11.0569,0.00205818,0.0023
35,18,9500,7.72089,352.688,351.477,1.20513e-05,0.00189309,0.000153041,0.621411,0.862313,11.0689,0.00205818,0.0023
35,18,10000,7.70439,350.391,349.188,1.19728e-05,0.00189421,0.000152005,0.578367,0.79802,11.0812,0.00205818,0.0023
